"file","scenario","fit_type","total","positives","positives_pct","negatives","negatives_pct","product_type","positive_threshold","over_1_cfu","over_1_cfu_pct","over_10_cfu","over_10_cfu_pct","mean","sd","positives_pct_fit","negatives_pct_fit","over_1_cfu_pct_fit","over_10_cfu_pct_fit"
"1-Sample_results DI.csv","comminuted","mpn_ebel_log10norm",12747,3297,25.8649093904448,9450,74.1350906095552,"ground",0.00307692307692308,49,0.384404173531027,21,0.164744645799012,-8.64485188098671,2.96603730297314,1.93326428927242,98.0667357107276,0.178064735763417,0.057345702561018
"1-Sample_results DI.csv","comminuted","mpn_ebel_log10norm_override",12747,3297,25.8649093904448,9450,74.1350906095552,"ground",0.00307692307692308,49,0.384404173531027,21,0.164744645799012,-4.2375003601981,2.47791021002535,24.308913996695,75.691086003305,4.36227173236987,1.72714572811774
"1-Sample_results DI.csv","comminuted","mpn_fitdistcens_log10norm_short",12747,3297,25.8649093904448,9450,74.1350906095552,"ground",0.00307692307692308,49,0.384404173531027,21,0.164744645799012,-1.56270765349676,1.57504197165197,72.6624295356888,27.3375704643112,16.0557571439331,5.18608386000165
"1-Sample_results DI.csv","comminuted","mpn_fitdistcens_log10norm_full",12747,3297,25.8649093904448,9450,74.1350906095552,"ground",0.00307692307692308,49,0.384404173531027,21,0.164744645799012,-8.13430154697528,3.11616005001394,3.55938894650463,96.4406110534954,0.452234075728652,0.168790477593794
"2-Exploratory_Paired DI.csv","carcass_exploratory_rehang","qpcr_fitdistcens_log10norm_short",3249,1458,44.8753462603878,1791,55.1246537396122,"carcass",0.0333333333333333,271,8.34102800861804,270,8.31024930747922,0.384722926234613,0.890085791179165,98.1769920754379,1.82300792456212,66.7213338624731,24.4702363368981
"2-Exploratory_Paired DI.csv","carcass_exploratory_post_chill","qpcr_fitdistcens_log10norm_short",5955,150,2.51889168765743,5805,97.4811083123426,"carcass",0.0333333333333333,24,0.403022670025189,22,0.36943744752309,0.369675961551599,0.679531665842347,99.6713626464486,0.328637353551352,70.6784699236959,17.6811189450607
"2-Exploratory_Paired DI.csv","carcass_exploratory_rehang","qpcr_fitdistcens_log10norm_full",3249,1458,44.8753462603878,1791,55.1246537396122,"carcass",0.0333333333333333,271,8.34102800861804,270,8.31024930747922,-1.71372268063274,1.91483589674956,45.0830942965318,54.9169057034682,18.5401283641387,7.82109145302296
"2-Exploratory_Paired DI.csv","carcass_exploratory_post_chill","qpcr_fitdistcens_log10norm_full",5955,150,2.51889168765743,5805,97.4811083123426,"carcass",0.0333333333333333,24,0.403022670025189,22,0.36943744752309,-7.61340894593498,3.13630432305622,2.52011097006378,97.4798890299362,0.760144162283838,0.301306449367345
"3-2012_RCPBS_2496_samples DI.xlsx","parts_baseline","mpn_ebel_log10norm",2496,722,28.9262820512821,1774,71.073717948718,"parts",0.0333333333333333,60,2.40384615384615,6,0.240384615384615,-3.19159117613518,1.28592108609584,9.12228938599817,90.8777106140018,0.653328989041768,0.0557842919664875
"3-2012_RCPBS_2496_samples DI.xlsx","parts_baseline","mpn_fitdistcens_log10norm_short",2496,722,28.9262820512821,1774,71.073717948718,"parts",0.0333333333333333,60,2.40384615384615,6,0.240384615384615,-0.784488091073293,0.668820842263485,84.9806406294011,15.0193593705989,12.040952227866,0.38139552619556
"3-2012_RCPBS_2496_samples DI.xlsx","parts_baseline","mpn_fitdistcens_log10norm_full",2496,722,28.9262820512821,1774,71.073717948718,"parts",0.0333333333333333,60,2.40384615384615,6,0.240384615384615,-2.91515839146452,1.52571577663064,17.2959967601869,82.7040032398131,2.80226993414642,0.514227265990597
"4-2007_08_YCBS_2008_6550_samples_DI.xls","carcass_baseline_rehang","mpn_ebel_log10norm",3275,1852,56.5496183206107,1423,43.4503816793893,"carcass",0.0333333333333333,370,11.2977099236641,102,3.11450381679389,-2.14706400418783,1.22232028335717,29.1814709165915,70.8185290834085,3.9497458589445,0.501687560664266
"4-2007_08_YCBS_2008_6550_samples_DI.xls","carcass_baseline_post_chill","mpn_ebel_log10norm",3275,340,10.381679389313,2935,89.618320610687,"carcass",0.0333333333333333,18,0.549618320610687,5,0.152671755725191,-4.28438409491852,1.38525450737531,2.13551391229093,97.8644860877091,0.0991222295790739,0.0068163530469123
"4-2007_08_YCBS_2008_6550_samples_DI.xls","carcass_baseline_rehang","mpn_fitdistcens_log10_short",3275,1852,56.5496183206107,1423,43.4503816793893,"carcass",0.0333333333333333,396,12.0916030534351,106,3.23664122137405,-0.438895534139412,0.740066708494505,91.9673875829851,8.03261241701493,27.6574309923123,2.59309587701051
"4-2007_08_YCBS_2008_6550_samples_DI.xls","carcass_baseline_post_chill","mpn_fitdistcens_log10_short",3275,340,10.381679389313,2935,89.618320610687,"carcass",0.0333333333333333,22,0.67175572519084,6,0.183206106870229,-0.838778830463287,0.67106654589717,82.9257618362819,17.0742381637181,10.5664567771723,0.307117244916577
"4-2007_08_YCBS_2008_6550_samples_DI.xls","carcass_baseline_rehang","mpn_fitdistcens_log10_full",3275,1852,56.5496183206107,1423,43.4503816793893,"carcass",0.0333333333333333,396,12.0916030534351,106,3.23664122137405,-1.52775735746387,1.32747810471205,48.4786201330966,51.5213798669034,12.4892452941227,2.84433678636904
"4-2007_08_YCBS_2008_6550_samples_DI.xls","carcass_baseline_post_chill","mpn_fitdistcens_log10_full",3275,340,10.381679389313,2935,89.618320610687,"carcass",0.0333333333333333,22,0.67175572519084,6,0.183206106870229,-4.00744411736858,1.61783077405307,5.89062053569613,94.1093794643039,0.662370842993865,0.0983535778978251
